Usia;Jenis Kelamin;Pendidikan;1. Apakah Anda bermain game online?;2. Seberapa sering Anda bermain game online dalam sebulan terakhir?;3. Berapa lama waktu yang Anda habiskan setiap hari untuk bermain game online? ;4. Apa jenis game online yang paling sering Anda mainkan? (Contoh: MOBA, FPS, RPG, dll.);5. Apakah Anda merasa bermain game online mengganggu waktu belajar atau aktivitas Anda?;6. Bagaimana Anda menilai tingkat rasa stres Anda sebulan terakhir? ;7.  Seberapa sering Anda merasa cemas, depresi, tertekan, atau memiliki masalah kesehatan mental lainnya dalam sebulan terakhir?;8. Apa yang menjadi penyebab utama stres Anda sebulan terakhir?;9. Apakah bermain game online menjadi pilihan pertama Anda ketika Anda merasa stres? atau apakah Anda memiliki metode lain yang Anda coba terlebih dahulu?;10. Jika YA, berikan alasan mu. Jika TIDAK, aktivitas apa yang menjadi pilihan pertamamu ketika merasa stres?;11. Apakah Anda merasa bahwa bermain game online telah membantu Anda mengalihkan perhatian dari sumber stres yang sedang Anda alami?;12. Apakah Anda pernah mengalami situasi di mana bermain game untuk menghilangkan stres malah menambah stres atau masalah lain dalam hidup Anda?;13. Bagaimana pendapat Anda tentang sejauh mana bermain game sebagai cara untuk menghilangkan stres merupakan alternatif yang sehat dan efektif? 
20;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Netral;Tinggi;Sering;Perbedaan pendapat keluarga ( Ortu, Kakak, dan kerabat lain);Tidak;Menangis, Keluar motoran, ngemall tp tidak membeli;Netral;Tidak pernah;Tidak Setuju
19;Perempuan;Mahasiswa;Tidak;Tidak pernah;Kurang dari 30 menit;Tidak bermain game;Netral;Tinggi;Sering;Hubungan sosial dalam organisasi, tugas kuliah;Tidak;Tidur, self care (skincare, olahraga), terkadang mencari resep jajanan manis dan membuatnya.;Tidak membantu;Jarang;Netral
20;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Tidak;Tinggi;Sering;TUGASSSSS;Tidak;Social Media;Kurang membantu;Normal;Netral
20;Perempuan;Mahasiswa;Ya;Beberapa kali seminggu;30 menit - 1 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Sangat Tinggi;Normal;tugas kuliah;Tidak;saya akan bermain tiktok;Membantu;Tidak pernah;Netral
19;Laki-laki;Mahasiswa;Ya;Setiap hari;1-2 jam;FPS (Valorant, CSGO, Point Blank);Tidak;Tinggi;Sering;Masalah sosial;Tidak;Cangs;Membantu;Sering;Sangat setuju
21;Laki-laki;Mahasiswa;Ya;Setiap hari;30 menit - 1 jam;MOBA, FPS, & SPORT;Netral;Tinggi;Sering;Karena ulah saya sendiri kirang terkontrol;Tidak;Hobi salah satunya travelling;Netral;Normal;Setuju
21;Laki-laki;Mahasiswa;Ya;Jarang;1-2 jam;Sport (8 Ball Pool, FIFA, eFootball);Tidak;Normal;Jarang;Masa depan;Ya;Refreshing;Membantu;Sering;Setuju
21;Laki-laki;Mahasiswa;Tidak;Tidak pernah;Kurang dari 30 menit;Sport (8 Ball Pool, FIFA, eFootball);Netral;Normal;Normal;Tugas;Tidak;Tidak, lari;Netral;Normal;Netral
20;Laki-laki;Mahasiswa;Ya;Sekali seminggu;1-2 jam;Sport (8 Ball Pool, FIFA, eFootball);Tidak;Normal;Normal;Pemberian tugas dari dosen yang bertubi-tubi dan ketidakhadiran dosen yang mendadak ketika saya sudah tiba di kampus;Tidak;Menonton youtube/film, mendengarkan lagu;Membantu;Jarang;Setuju
20;Laki-laki;Mahasiswa;Ya;Setiap hari;Kurang dari 30 menit;Arcade (Subway Surf, Temple Run, Pou);Tidak;Tinggi;Sering;tugas kuliah dan permasalahan pribadi;Tidak;membuka sosial media;Membantu;Jarang;Setuju
21;Laki-laki;Mahasiswa;Ya;Setiap hari;Lebih dari 2 jam;MOBA (Mobile Legends, DOTA, League of Legends);Netral;Normal;Normal;Belum ada;Ya;Game menyenangkan ;Membantu;Jarang;Setuju
20;Perempuan;Mahasiswa;Ya;Jarang;Kurang dari 30 menit;Sport (8 Ball Pool, FIFA, eFootball);Tidak;Tinggi;Normal;Tugas kuliah;Tidak;Tidur;Kurang membantu;Jarang;Netral
21;Laki-laki;Mahasiswa;Ya;Jarang;30 menit - 1 jam;RPG (Genshin Impact, Call of Duty, Toram);Tidak;Normal;Normal;Tugas;Tidak;Membuka sosial media, kalau game biasanya nambah stress kalo kalah;Membantu;Normal;Setuju
